time,bits
2021-09-06 09:17:03,15542928
2021-09-06 09:17:33,16412048
2021-09-06 09:18:03,4035808
2021-09-06 09:18:33,5374176
2021-09-06 09:19:03,13138448
2021-09-06 09:19:33,6685152
2021-09-06 09:20:03,6160528
2021-09-06 09:20:33,5022352
2021-09-06 09:21:03,12247568
2021-09-06 09:21:33,24132560
2021-09-06 09:22:03,27684840
2021-09-06 09:22:34,49965712
2021-09-06 09:23:03,19048984
2021-09-06 09:23:33,31151504
2021-09-06 09:24:03,27976576
2021-09-06 09:24:33,10818720
2021-09-06 09:25:03,23668576
2021-09-06 09:25:33,8606256
2021-09-06 09:26:03,4230536
2021-09-06 09:26:33,13066280
2021-09-06 09:27:03,4962944
2021-09-06 09:27:33,24167344
2021-09-06 09:28:03,11652664
2021-09-06 09:28:33,11799144
2021-09-06 09:29:03,2029672
2021-09-06 09:29:33,5864096
2021-09-06 09:30:03,3204368
2021-09-06 09:30:33,25465456
2021-09-06 09:31:03,11883784
2021-09-06 09:31:33,25151240
2021-09-06 09:32:03,20021952
2021-09-06 09:32:33,3183264
2021-09-06 09:33:03,57769928
2021-09-06 09:33:33,16599944
2021-09-06 09:34:03,32500232
2021-09-06 09:34:33,18611248
2021-09-06 09:35:03,37864928
2021-09-06 09:35:33,3939304
2021-09-06 09:36:03,10628256
2021-09-06 09:36:33,27363000
2021-09-06 09:37:03,37844664
2021-09-06 09:37:33,43303504
2021-09-06 09:38:03,3947176
2021-09-06 09:38:33,3498424
2021-09-06 09:39:03,13246960
2021-09-06 09:39:33,11096776
2021-09-06 09:40:03,65494280
2021-09-06 09:41:03,22402976
2021-09-06 09:41:33,23974984
2021-09-06 09:42:03,13029424
2021-09-06 09:42:33,13733744
2021-09-06 09:43:03,13322712
2021-09-06 09:43:33,14670064
2021-09-06 09:44:04,2158936
2021-09-06 09:44:33,6909336
2021-09-06 09:45:03,891368
2021-09-06 09:45:33,5685896
2021-09-06 09:46:03,38568184
2021-09-06 09:46:33,40932144
2021-09-06 09:47:03,20311592
2021-09-06 09:47:33,17847272
2021-09-06 09:48:03,26608752
2021-09-06 09:48:33,9774080
2021-09-06 09:49:03,4546368
2021-09-06 09:49:33,14083064
2021-09-06 09:50:03,4710024
2021-09-06 09:50:33,14637328
2021-09-06 09:51:03,8100512
2021-09-06 09:51:33,32494704
2021-09-06 09:52:03,2970304
2021-09-06 09:52:33,23455872
2021-09-06 09:53:03,18382920
2021-09-06 09:53:33,18636336
2021-09-06 09:54:03,24906344
2021-09-06 09:54:33,18312904
2021-09-06 09:55:03,21965680
2021-09-06 09:55:33,20440728
2021-09-06 09:56:03,12311760
2021-09-06 09:56:33,59640632
2021-09-06 09:57:03,13916400
2021-09-06 09:57:33,18258736
2021-09-06 09:58:03,11143992
2021-09-06 09:58:33,24412888
2021-09-06 09:59:04,11128392
2021-09-06 09:59:33,11934472
2021-09-06 10:00:03,4914296
2021-09-06 10:00:34,10362904
2021-09-06 10:01:03,33273088
2021-09-06 10:01:33,14715744
2021-09-06 10:02:03,55031656
2021-09-06 10:02:33,30810728
2021-09-06 10:03:03,41890192
2021-09-06 10:03:33,39617048
2021-09-06 10:04:03,41789944
2021-09-06 10:04:33,2784560
2021-09-06 10:05:03,14175544
2021-09-06 10:05:33,36428088
2021-09-06 10:06:03,17275960
2021-09-06 10:06:33,36654048
2021-09-06 10:07:03,17426200
2021-09-06 10:07:33,8971192
2021-09-06 10:08:03,14077672
2021-09-06 10:09:03,14317624
2021-09-06 10:09:33,30802416
2021-09-06 10:10:03,30549864
2021-09-06 10:10:33,13053440
2021-09-06 10:11:03,15209600
2021-09-06 10:11:33,9529784
2021-09-06 10:12:03,17873400
2021-09-06 10:12:33,31114176
2021-09-06 10:13:03,13999784
2021-09-06 10:13:33,4058488
2021-09-06 10:14:03,7589680
2021-09-06 10:14:33,18519056
2021-09-06 10:15:03,16322008
2021-09-06 10:15:33,27275944
2021-09-06 10:16:03,25325368
2021-09-06 10:16:33,11010712
2021-09-06 10:17:03,4295288
2021-09-06 10:17:33,19076536
2021-09-06 10:18:03,18029592
2021-09-06 10:18:33,49430008
2021-09-06 10:19:03,47748688
2021-09-06 10:19:33,17733864
2021-09-06 10:20:03,12794824
2021-09-06 10:20:33,15964896
2021-09-06 10:21:03,3139568
2021-09-06 10:21:33,17971248
2021-09-06 10:22:03,15735344
2021-09-06 10:22:33,11060376
2021-09-06 10:23:03,907464
2021-09-06 10:23:33,36633016
2021-09-06 10:24:03,15473080
2021-09-06 10:24:33,28713936
2021-09-06 10:25:03,23367496
2021-09-06 10:25:33,15362968
2021-09-06 10:26:03,2573656
2021-09-06 10:26:33,5814224
2021-09-06 10:27:03,1951480
2021-09-06 10:27:33,6661240
2021-09-06 10:28:03,11808432
2021-09-06 10:28:33,17336208
2021-09-06 10:29:04,36413576
2021-09-06 10:29:33,36054288
2021-09-06 10:30:03,37801792
