predicted=13060404.681; sterr=71.562; interval=(251949.328, 313087283.026)
predicted=13060134.488; sterr=71.562; interval=(251942.688, 313081952.648)
predicted=13059876.330; sterr=71.562; interval=(251936.344, 313076859.621)
predicted=13059629.672; sterr=71.562; interval=(251930.283, 313071993.375)
predicted=13059394.000; sterr=71.562; interval=(251924.491, 313067343.812)
predicted=13059168.825; sterr=71.562; interval=(251918.958, 313062901.283)
predicted=13058953.680; sterr=71.562; interval=(251913.671, 313058656.569)
predicted=13058748.116; sterr=71.562; interval=(251908.620, 313054600.861)
predicted=13058551.709; sterr=71.562; interval=(251903.794, 313050725.742)
predicted=13058364.049; sterr=71.562; interval=(251899.183, 313047023.171)
predicted=13058184.747; sterr=71.562; interval=(251894.777, 313043485.466)
predicted=13058013.431; sterr=71.562; interval=(251890.567, 313040105.283)
predicted=13057849.744; sterr=71.562; interval=(251886.545, 313036875.610)
predicted=13057693.348; sterr=71.562; interval=(251882.703, 313033789.744)
predicted=13057543.916; sterr=71.562; interval=(251879.031, 313030841.281)
predicted=13057401.140; sterr=71.562; interval=(251875.523, 313028024.104)
