Data Hora,QtdBites
2021-09-02 21:56:33,46696280
2021-09-02 21:57:03,47031888
2021-09-02 21:57:34,37984424
2021-09-02 21:58:03,37030696
2021-09-02 21:58:33,39300528
2021-09-02 21:59:03,48910184
2021-09-02 21:59:33,45289080
2021-09-02 22:00:03,38503248
2021-09-02 22:00:33,45780728
2021-09-02 22:01:03,24166336
2021-09-02 22:01:33,102024712
2021-09-02 22:02:04,24583824
2021-09-02 22:02:33,918200
2021-09-02 22:03:34,62094896
2021-09-02 22:04:03,10758040
2021-09-02 22:04:33,12661648
2021-09-02 22:05:03,1354144
2021-09-02 22:05:33,4194632
2021-09-02 22:06:03,795368
2021-09-02 22:06:33,1670960
2021-09-02 22:07:03,2238728
2021-09-02 22:07:33,766488
2021-09-02 22:08:04,503912
2021-09-02 22:08:33,782480
2021-09-02 22:09:03,784904
2021-09-02 22:09:33,736856
2021-09-02 22:10:03,8310808
2021-09-02 22:10:33,4741872
2021-09-02 22:11:03,974776
2021-09-02 22:11:33,848008
2021-09-02 22:12:03,841552
2021-09-02 22:12:33,2355016
2021-09-02 22:13:03,2065528
2021-09-02 22:13:33,4745784
2021-09-02 22:14:03,1263888
2021-09-02 22:14:33,1010016
2021-09-02 22:15:03,1412512
2021-09-02 22:15:33,883592
2021-09-02 22:16:03,982088
2021-09-02 22:16:33,992536
2021-09-02 22:17:03,3007720
2021-09-02 22:17:33,1334320
2021-09-02 22:18:03,667976
2021-09-02 22:18:33,3253208
2021-09-02 22:19:03,2816288
2021-09-02 22:19:33,1626184
2021-09-02 22:20:03,6231008
2021-09-02 22:20:33,1313224
2021-09-02 22:21:03,1294048
2021-09-02 22:21:33,788912
2021-09-02 22:22:03,842840
2021-09-02 22:22:33,1618312
2021-09-02 22:23:03,851328
2021-09-02 22:23:33,11763424
2021-09-02 22:24:03,49352320
2021-09-02 22:24:33,32303872
2021-09-02 22:25:03,501800
2021-09-02 22:25:33,862816
2021-09-02 22:26:03,825024
2021-09-02 22:26:33,659408
2021-09-02 22:27:03,656416
2021-09-02 22:27:33,492672
2021-09-02 22:28:03,613352
2021-09-02 22:28:33,516960
2021-09-02 22:29:03,5774648
2021-09-02 22:29:33,604552
2021-09-02 22:30:03,698744
2021-09-02 22:30:33,4434200
2021-09-02 22:31:03,4103312
2021-09-02 22:31:33,870112
2021-09-02 22:32:03,1017984
