Data;Hora;NDeSerie;QtdBites
14-09-2021;19:34:33;1631658873;13997856
14-09-2021;19:34:03;1631658843;38083864
14-09-2021;19:33:03;1631658783;36177136
14-09-2021;19:32:33;1631658753;7745200
14-09-2021;19:32:03;1631658723;21381704
14-09-2021;19:31:33;1631658693;10245096
14-09-2021;19:31:03;1631658663;8307168
14-09-2021;19:30:33;1631658633;8497016
14-09-2021;19:30:03;1631658603;12449240
14-09-2021;19:29:33;1631658573;13145312
14-09-2021;19:29:03;1631658543;21333432
14-09-2021;19:28:33;1631658513;43878952
14-09-2021;19:28:03;1631658483;65240336
14-09-2021;19:27:33;1631658453;51295424
14-09-2021;19:27:03;1631658423;63234360
14-09-2021;19:26:33;1631658393;42688704
14-09-2021;19:26:03;1631658363;41683056
14-09-2021;19:25:33;1631658333;25659056
14-09-2021;19:25:03;1631658303;30689056
14-09-2021;19:24:33;1631658273;16351640
14-09-2021;19:24:03;1631658243;24177040
14-09-2021;19:23:33;1631658213;27636072
14-09-2021;19:23:03;1631658183;27118024
14-09-2021;19:22:33;1631658153;13503120
14-09-2021;19:22:03;1631658123;15217728
14-09-2021;19:21:33;1631658093;11433512
14-09-2021;19:21:03;1631658063;13965536
14-09-2021;19:20:33;1631658033;28495264
14-09-2021;19:20:03;1631658003;33539408
14-09-2021;19:19:33;1631657973;17954560
14-09-2021;19:19:03;1631657943;20992632
14-09-2021;19:18:33;1631657913;28142408
14-09-2021;19:18:03;1631657883;51961880
14-09-2021;19:17:33;1631657853;87033752
14-09-2021;19:17:03;1631657823;76055512
14-09-2021;19:16:33;1631657793;67566448
14-09-2021;19:15:33;1631657733;85918248
14-09-2021;19:15:03;1631657703;15196856
14-09-2021;19:14:33;1631657673;12259784
14-09-2021;19:14:03;1631657643;34930816
14-09-2021;19:13:33;1631657613;37232496
14-09-2021;19:13:03;1631657583;91225624
14-09-2021;19:12:33;1631657553;94006808
14-09-2021;19:12:03;1631657523;33063600
14-09-2021;19:11:33;1631657493;48757824
14-09-2021;19:11:03;1631657463;96354856
14-09-2021;19:10:33;1631657433;112555240
14-09-2021;19:10:03;1631657403;37162472
14-09-2021;19:09:33;1631657373;35937624
14-09-2021;19:09:03;1631657343;40930504
14-09-2021;19:08:33;1631657313;16226960
14-09-2021;19:08:03;1631657283;12742672
14-09-2021;19:07:33;1631657253;11805664
14-09-2021;19:07:03;1631657223;30168224
14-09-2021;19:06:33;1631657193;21911784
14-09-2021;19:06:03;1631657163;18860728
14-09-2021;19:05:33;1631657133;17815944
14-09-2021;19:05:03;1631657103;6413320
14-09-2021;19:04:33;1631657073;16053192
14-09-2021;19:04:03;1631657043;5772320
14-09-2021;19:03:33;1631657013;24543200
14-09-2021;19:03:03;1631656983;10702920
14-09-2021;19:02:33;1631656953;14387216
14-09-2021;19:02:03;1631656923;33971520
14-09-2021;19:01:33;1631656893;24476696
14-09-2021;19:01:03;1631656863;20710264
14-09-2021;19:00:03;1631656803;19450080
14-09-2021;18:59:33;1631656773;44469744
14-09-2021;18:59:03;1631656743;28119176
14-09-2021;18:58:33;1631656713;3769136
14-09-2021;18:58:03;1631656683;5288840
14-09-2021;18:57:33;1631656653;13304088
14-09-2021;18:57:03;1631656623;26734152
14-09-2021;18:56:33;1631656593;31154000
14-09-2021;18:56:03;1631656563;20884672
14-09-2021;18:55:33;1631656533;25684504
14-09-2021;18:55:03;1631656503;25175272
14-09-2021;18:54:33;1631656473;22872480
14-09-2021;18:54:03;1631656443;19788120
14-09-2021;18:53:33;1631656413;7542808
14-09-2021;18:53:03;1631656383;33426728
14-09-2021;18:52:33;1631656353;20984824
14-09-2021;18:52:03;1631656323;28193792
14-09-2021;18:51:33;1631656293;19254760
14-09-2021;18:51:03;1631656263;10287864
14-09-2021;18:50:34;1631656234;15169600
14-09-2021;18:50:03;1631656203;30381152
14-09-2021;18:49:33;1631656173;17439072
14-09-2021;18:49:03;1631656143;13338864
14-09-2021;18:48:33;1631656113;13615456
14-09-2021;18:48:03;1631656083;33302544
14-09-2021;18:47:34;1631656054;26882784
14-09-2021;18:47:03;1631656023;21533696
